Warehouse,WeekEnding,DemandFulfillment,AFIFinanceDivision,FOBDemandFullfilment
335,2026-05-02,7392,Imported Upholstery,4339123
335,2026-05-02,40090,Import Casegoods,7053558
335,2026-05-02,557,Import Bedding,288610
42 ,2026-05-02,0,Import Casegoods,0
42 ,2026-05-02,0,Upholstery,0
42 ,2026-05-02,0,Domestic Casegoods,0
5  ,2026-05-02,17376,Upholstery,5022873
5  ,2026-05-02,8776,Domestic Bedding,3166758
5  ,2026-05-02,6556,Domestic Casegoods,661901
5  ,2026-05-02,16,Marketplace,0
5  ,2026-05-02,6132,Import Bedding,1136705
5  ,2026-05-02,3411,Imported Upholstery,2181188
5  ,2026-05-02,39209,Import Casegoods,5971978
ECR,2026-05-02,11191,Domestic Casegoods,1100470
ECR,2026-05-02,9663,Domestic Bedding,3030555
ECR,2026-05-02,5081,Import Bedding,883534
ECR,2026-05-02,4570,Imported Upholstery,2719323
ECR,2026-05-02,31,Marketplace,0
ECR,2026-05-02,28583,Import Casegoods,4275154
ECR,2026-05-02,29328,Upholstery,8475217
1  ,2026-05-09,3206,Imported Upholstery,1776566
1  ,2026-05-09,7433,Domestic Bedding,2487261
1  ,2026-05-09,4800,Import Bedding,868468
1  ,2026-05-09,17987,Domestic Casegoods,1811402
1  ,2026-05-09,27218,Import Casegoods,4148002
1  ,2026-05-09,25707,Upholstery,7254657
15 ,2026-05-09,5412,Import Bedding,1034221
15 ,2026-05-09,21589,Import Casegoods,3403636
15 ,2026-05-09,2154,Imported Upholstery,1144940
15 ,2026-05-09,8061,Domestic Casegoods,835506
15 ,2026-05-09,16709,Upholstery,4785664
15 ,2026-05-09,22,Marketplace,0
15 ,2026-05-09,9123,Domestic Bedding,3272077
17 ,2026-05-09,23238,Import Casegoods,3837040
17 ,2026-05-09,2939,Imported Upholstery,1743084
17 ,2026-05-09,7378,Domestic Bedding,2574330
17 ,2026-05-09,9548,Domestic Casegoods,948648
17 ,2026-05-09,4325,Import Bedding,884084
17 ,2026-05-09,14822,Upholstery,4162942
28 ,2026-05-09,5190,Domestic Bedding,1813972
28 ,2026-05-09,18545,Import Casegoods,2917606
28 ,2026-05-09,2929,Import Bedding,503402
28 ,2026-05-09,10436,Upholstery,3050092
28 ,2026-05-09,5053,Domestic Casegoods,513329
28 ,2026-05-09,1961,Imported Upholstery,1242817
335,2026-05-09,564,Import Bedding,291196
335,2026-05-09,27525,Import Casegoods,4909521
335,2026-05-09,10999,Upholstery,3083029
335,2026-05-09,11,Domestic Casegoods,1842
335,2026-05-09,8002,Imported Upholstery,4125997
42 ,2026-05-09,0,Domestic Casegoods,0
42 ,2026-05-09,0,Upholstery,0
42 ,2026-05-09,0,Import Casegoods,0
5  ,2026-05-09,8976,Domestic Bedding,3177738
5  ,2026-05-09,6446,Domestic Casegoods,654206
5  ,2026-05-09,2929,Imported Upholstery,1795956
5  ,2026-05-09,6245,Import Bedding,1160252
5  ,2026-05-09,16403,Upholstery,4816809
5  ,2026-05-09,17,Marketplace,0
5  ,2026-05-09,36742,Import Casegoods,5802163
ECR,2026-05-09,11023,Domestic Casegoods,1104928
ECR,2026-05-09,50,Marketplace,0
ECR,2026-05-09,5163,Imported Upholstery,2960454
ECR,2026-05-09,30392,Import Casegoods,4723001
ECR,2026-05-09,4818,Import Bedding,868624
ECR,2026-05-09,35289,Upholstery,10154552
ECR,2026-05-09,8895,Domestic Bedding,2806162
1  ,2026-05-16,3731,Imported Upholstery,2041373
1  ,2026-05-16,16951,Domestic Casegoods,1736068
1  ,2026-05-16,29846,Import Casegoods,4556698
1  ,2026-05-16,4364,Import Bedding,813812
1  ,2026-05-16,7479,Domestic Bedding,2505700
1  ,2026-05-16,23856,Upholstery,6674446
15 ,2026-05-16,2009,Imported Upholstery,1167367
15 ,2026-05-16,5586,Import Bedding,1110894
15 ,2026-05-16,22526,Import Casegoods,3439896
15 ,2026-05-16,8544,Domestic Casegoods,882588
15 ,2026-05-16,15007,Upholstery,4272574
15 ,2026-05-16,39,Marketplace,0
15 ,2026-05-16,9224,Domestic Bedding,3320176
17 ,2026-05-16,17385,Upholstery,5159672
17 ,2026-05-16,3326,Imported Upholstery,1888232
17 ,2026-05-16,5311,Import Bedding,1119503
17 ,2026-05-16,9517,Domestic Casegoods,952282
17 ,2026-05-16,29608,Import Casegoods,4699666
17 ,2026-05-16,7504,Domestic Bedding,2602770
28 ,2026-05-16,5177,Domestic Bedding,1823766
28 ,2026-05-16,5473,Domestic Casegoods,553297
28 ,2026-05-16,27407,Import Casegoods,4582483
28 ,2026-05-16,4849,Import Bedding,867750
28 ,2026-05-16,10284,Upholstery,3000206
28 ,2026-05-16,1839,Imported Upholstery,1122892
335,2026-05-16,524,Import Bedding,278408
335,2026-05-16,16,Domestic Casegoods,2270
335,2026-05-16,29659,Import Casegoods,5288564
335,2026-05-16,5526,Imported Upholstery,3089484
335,2026-05-16,11961,Upholstery,3370256
42 ,2026-05-16,0,Domestic Casegoods,0
42 ,2026-05-16,0,Import Casegoods,0
42 ,2026-05-16,0,Upholstery,0
5  ,2026-05-16,4486,Imported Upholstery,2648034
5  ,2026-05-16,16540,Upholstery,4868090
5  ,2026-05-16,5694,Import Bedding,1059885
5  ,2026-05-16,8968,Domestic Bedding,3205221
5  ,2026-05-16,13,Marketplace,0
5  ,2026-05-16,34431,Import Casegoods,5600304
5  ,2026-05-16,6440,Domestic Casegoods,660814
ECR,2026-05-16,48604,Upholstery,14141895
ECR,2026-05-16,11783,Domestic Casegoods,1172776
ECR,2026-05-16,33,Marketplace,0
ECR,2026-05-16,32603,Import Casegoods,5268382
ECR,2026-05-16,4188,Imported Upholstery,2406492
ECR,2026-05-16,5327,Import Bedding,1069981
ECR,2026-05-16,9056,Domestic Bedding,2876826
1  ,2026-05-23,9116,Domestic Bedding,3186055
1  ,2026-05-23,25736,Upholstery,7172358
1  ,2026-05-23,3038,Imported Upholstery,1730366
1  ,2026-05-23,33403,Import Casegoods,5000745
1  ,2026-05-23,5409,Import Bedding,1028535
1  ,2026-05-23,16629,Domestic Casegoods,1693380
15 ,2026-05-23,21111,Upholstery,5908208
15 ,2026-05-23,22,Marketplace,0
15 ,2026-05-23,11761,Domestic Bedding,4374402
15 ,2026-05-23,10031,Import Bedding,1628340
15 ,2026-05-23,36391,Import Casegoods,5760314
15 ,2026-05-23,8752,Domestic Casegoods,898158
15 ,2026-05-23,1886,Imported Upholstery,1071870
