Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,,,,15,,,,17,,,,28,,,,42,,,,5,,,,ECR,,,,Total Sum of Billable Volume,Total Sum of Billable Invoicing,Total Sum of Ecommerce Volume,Total Sum of Ecommerce Invoicing
DATE,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,Sum of Billable Volume,Sum of Billable Invoicing,Sum of Ecommerce Volume,Sum of Ecommerce Invoicing,,,,
2025-05-24 00:00:00,81989,14568958.67,7510,1117999.11,51930,11411898.72,19141,2833700.14,57779.005,12844540.89,10830,1515982.9,35010.002,8101105.12,5880,856671.9,0,-288.8,0,0,55549.866,12232627.2,11064,1666456.81,86646.397,20198254.29,11084,1705485.03,368904.27,79357096.09,65509,9696295.89
2025-05-17 00:00:00,88131.996,14934791.55,5993,862954.56,57581,12970725.28,14893,2255031.99,68179.026,14813366.68,9087,1217415.46,34503.97,7734896.56,5699,783245.44,0,-217.75,0,0,55405.834,12560449.22,10714,1588849.42,90333.36,20933121.37,9368,1455682.93,394135.186,83947132.91,55754,8163179.8
2025-05-10 00:00:00,92156,17602250.09,6027,841307.48,60247,13093291.61,16899,2487816.08,65561.008,14322745.6,9018,1225851.82,35786.996,8093802.77,5952,775821.44,0,-139.73,0,0,62600.923,14202579.57,11190,1650292.04,86924.291,20144744.73,10261,1675692.98,403276.218,87459274.64,59347,8656781.84
2025-05-03 00:00:00,92455,17187943.97,6186,858384.35,54266,12128943.64,14022,1989628.7,54073.028,12645757.07,8729,1216093.5,34724.994,7937737.14,5802,776155.16,578,122558.05,0,0,55274,12065808.65,10811,1512450.51,90265.347,21068878.39,9781,1632633.18,381636.369,83157626.91,55331,7985345.4
2025-04-26 00:00:00,87268,15601016.79,5005,682656.32,57873,12453433.19,11039,1643074.07,51856.998,11978223.14,7460,1044823.9,35750.009,7951452.9,4864,654942.04,3,619.57,0,0,52661.833,11164657.33,9225,1366112.63,81909.293,19046299.88,8775,1414770.17,367322.133,78195702.8,46368,6806379.13
2025-04-19 00:00:00,92115,17941967.16,5529,735595.37,58450,12827646.54,12322,1835716.37,62977.009,14323180.98,7549,985154.73,33279.986,7669059.75,4842,624386.51,611,122253.84,8,611.15,69876.862,15213576.92,10365,1463809.5,89917.271,21238302.3,7816,987299.17,407227.128,89335987.49,48431,6632572.8
2025-04-12 00:00:00,96882.999,17621851.02,5905,831376.72,63046,13780536.96,13408,1946650.54,66758.995,15134180.73,7654,978853.27,39210.012,8930886.2,6805,808306.29,396,87879.2,357,47949.03,67082.798,14988732.92,9880,1379536.78,88058.315,20588221.72,8256,1067184.68,421435.119,91132288.75,52265,7059857.31
2025-04-05 00:00:00,90358,17001013.27,6551,959852.72,62614,13655412.96,13621,1948004.28,63609.01,14230435.37,8034,1064849.78,37145.96,8195345.4,5327,680068.5,757,197735.51,508,60458.77,67229.862,15386680.26,10574,1577695.45,103002.326,23374005.2,8194,1090157.78,424716.158,92040627.97,52809,7381087.28
2025-03-29 00:00:00,93104.998,11176256.92,6433,888028.01,59994,13253074.23,13978,2009739.79,61929.998,13863184.05,7702,1027675.51,39900.966,8528024.22,5324,713744.63,1003,252237.14,759,84082.91,59104.927,13213405.51,10542,1596001.04,92865.345,21234612.78,9092,1154086.94,407903.234,81520794.85,53830,7473358.83
2025-03-22 00:00:00,91095,16143024.59,6668,863375.82,61558,13318974.73,12839,1880060.83,65998.01,14437283.23,7284,1072357.56,39908.005,8705656.76,5250,691433.26,1388,277473.38,1057,115957.21,70588.741,15210749.89,9866,1446825.56,103844.364,24089779.8,8383,1195764.25,434380.12,92182942.38,51347,7265774.49
